,idx,source_prompt,target_prompt,instructions
0,242679-input,"A seat under a mirror onboard a train, next to a cluttered counter.","A cat lounges on a seat under a mirror onboard a train, next to a cluttered counter.",Put a cat on the seat.
1,368667-input,A couple of horses in a field at a ranch.,Horses grazing by a stream at a ranch.,Have there be a stream running through the field
2,368667-output1,Horses grazing by a stream at a ranch.,Horses grazing by a stream at a ranch with a giraffe in the field.,Add a giraffe in the field
3,368667-output2,Horses grazing by a stream at a ranch with a giraffe in the field.,Horses grazing by a stream at a ranch with a giraffe in the field under a supernova explosion in the sky.,Add a supernova explosion in the sky
4,385042-input,A black and white fire hydrant stands on a brick sidewalk.,A white fire hydrant stands on a brick sidewalk.,Make the hydrant all white.
5,385042-output1,A white fire hydrant stands on a brick sidewalk.,A white fire hydrant stands on an asphalt street.,Put the hydrant on asphalt.
6,385042-output2,A white fire hydrant stands on an asphalt street.,A leashed dog stands next to a white fire hydrant on an asphalt street.,Add a leashed dog to the hydrant.
7,483348-input,A bathroom stall that is made of wood.,A wooden bathroom stall with a seat down.,Put down the seat.
8,483348-output1,A wooden bathroom stall with a seat down.,A wooden bathroom stall with a frog in the toilet.,Put a frog in the toilet.
9,483348-output2,A wooden bathroom stall with a frog in the toilet.,A wooden bathroom stall with a repaired floor and a frog in the toilet.,Repair the floor.
10,141946-input,"Two laptops, many papers, desk chair, file cabinets, overheard cabinets, and other small objects fill a carpeted cubical space.","Two laptops, many papers, desk chair, file cabinets, overheard cabinets, and other small objects fill a carpeted cubical space with blank screens.",let the laptop screen be blank
11,141946-output1,"Two laptops, many papers, desk chair, file cabinets, overheard cabinets, and other small objects fill a carpeted cubical space with blank screens.","Red chair and two laptops, many papers, desk chair, file cabinets, overhead cabinets, and other small objects fill a carpeted cubical space with blank screens.",let the chair be red
12,141946-output2,"Red chair and two laptops, many papers, desk chair, file cabinets, overhead cabinets, and other small objects fill a carpeted cubical space with blank screens.","Black desktop and red chair with two laptops, many papers, desk chair, file cabinets, overhead cabinets, and other small objects fill a carpeted cubical space with blank screens.",let the desktop be black
13,408425-input,A hotel looking room has a bright striped bedspread.,A hotel looking room with a white curtain and bright striped bedspread.,change the bright lime green curtains to white curtains
14,408425-output1,A hotel looking room with a white curtain and bright striped bedspread.,A cozy room with a white curtain and a colorful bean bag in place of a bed.,change the bed to a bean bag
15,408425-output2,A cozy room with a white curtain and a colorful bean bag in place of a bed.,"A cozy room with a wooden table, a white curtain, and a colorful bean bag in place of a bed.",let the table be wooden
16,352290-input,A brown horse standing on top of a lush green hillside.,A brown horse wearing a hat standing on top of a lush green hillside.,What if the horse was using a hat?
17,352290-output1,A brown horse wearing a hat standing on top of a lush green hillside.,A brown horse wearing a hat standing on top of a lush green hillside with birds flying in the sky.,Let's add birds to the sky
18,385037-input,A man and a woman sit on top of a motorcycle.,A woman sits on top of a motorcycle.,Remove the man.
19,385037-output1,A woman sits on top of a motorcycle.,An obese woman sits on top of a motorcycle.,Make the woman obese.
20,385037-output2,An obese woman sits on top of a motorcycle.,An obese woman with a helmet sits on top of a motorcycle.,Give the woman a helmet.
21,464144-input,The man is skiing down the hill with his goggles up.,The boy is skiing down the hill with his goggles up.,Let a boy ski.
22,578213-input,Someone sleeping under a big red blanket with flowers on it.,"Someone sleeping under a big red blanket with flowers on it, with banana shaped candles in the candle holder.",put banana shaped candles in the candle holder
23,127515-input,A baseball player swings at a pitch while the catcher and referee look on.,A baseball player catches a ball while the catcher and referee look on.,let the player catch a ball
24,308332-input,A bedroom decorated with a blue underwater theme.,A bedroom decorated with a blue underwater theme featuring a mermaid picture on the wall.,Have there be a mermaid in the picture on the wall
25,308332-output1,A bedroom decorated with a blue underwater theme featuring a mermaid picture on the wall.,A bedroom decorated with a blue underwater theme featuring a mermaid reading a book on the wall.,Have the mermaid be reading a book
26,308332-output2,A bedroom decorated with a blue underwater theme featuring a mermaid reading a book on the wall.,A bedroom decorated with a blue underwater theme featuring a mermaid reading a book on the wall and a lobster on the bed.,Have there be a lobster on the bed
27,284725-input,a public transit bus on a city street,A public transit bus driving on a city street.,Remove the car in front of the bus.
28,284725-output1,A public transit bus driving on a city street.,A public transit bus driving on a city street with a small cat on top.,Put a small cat on top of the bus.
29,560472-input,hot dogs and chicken on a table next to a grill,Burgers and chicken on a table next to a grill with patties cooking in the pan,let there be patties in the pan
30,560472-output1,Burgers and chicken on a table next to a grill with patties cooking in the pan,Pancakes and burgers on a table next to a grill with patties cooking in the pan,let there be pancakes on the pan
31,560472-output2,Pancakes and burgers on a table next to a grill with patties cooking in the pan,"Pancakes, burgers, and a bottle of wine on a table next to a grill with patties cooking in the pan",let there be a bottle of wine
32,441483-input,A toilet with no seat sits in a tiny bathroom.,A toilet with a lid sits in a tiny bathroom.,Let the toilet bowl have a lid.
33,116518-input,A dog is frolicking with a dirty white teddy bear.,A dog is frolicking with a black teddy bear.,Make the teddy bear black.
34,116518-output1,A dog is frolicking with a black teddy bear.,A dog is licking a black teddy bear in a playful frolic.,Have the dog lick the teddy bear.
35,116518-output2,A dog is licking a black teddy bear in a playful frolic.,A dog with a dragonfly on its ear is licking a black teddy bear in a playful frolic.,Put a dragonfly on the dog's ear.
36,103966-input,A metal bench with tennis racquets sitting on top of them.,A metal bench with a shovel sitting on top of it.,replace the tennis rackets with a shovel
37,103966-output1,A metal bench with a shovel sitting on top of it.,A wooden pew with a shovel sitting on top of it.,change the bench into a wooden pew
38,103966-output2,A wooden pew with a shovel sitting on top of it.,A wooden pew with a shovel and a bucket of dirt sitting on top of it.,let there be a bucket of the dirt
39,258155-input,a white bed with spots on it in a room,A white bed with a longer blanket hanging over it in a room.,Let the blanket be longer and hang over the bed.
40,495146-input,A train crosses as a bunch of gathered vehicles watch.,A train crosses as a bunch of gathered vehicles and a helicopter watch.,Add a helicopter.
41,70491-input,A green covered Wii remote lying on a table.,A green VR headset lying on a table.,let the remote turn into a VR headset
42,70491-output1,A green VR headset lying on a table.,A green VR headset lying on a table with a movie poster on the wall.,let there be a movie poster on the wall
43,70491-output2,A green VR headset lying on a table with a movie poster on the wall.,A green VR headset and credit card lying on a table with a movie poster on the wall.,let there be a credit card on the table
44,296012-input,A small green car has a plaque with writing in front of it.,A red sports car with a plaque and writing in front of it.,transform the car into a red sports car
45,221187-input,A women in a white shirt who is eating a banana.,A woman in a white shirt singing into a microphone.,Change the banana to a microphone.
46,160864-input,Baseball team holding batting practice on the field,Baseball team holding swords on the field during practice,make the baseball players hold swords
47,160864-output1,Baseball team holding swords on the field during practice,"Baseball team holding swords on the field during practice, with the catcher laughing uncontrollably",make the catcher laugh
48,160864-output2,"Baseball team holding swords on the field during practice, with the catcher laughing uncontrollably","Baseball team holding swords on the field during practice, with the clown catcher laughing uncontrollably",let the catcher wear a clown costume
49,51746-input,A white couch sitting in a living room next to a book shelf.,A brown couch sitting in a living room next to a book shelf.,change the white couch to a brown couch
50,51746-output1,A brown couch sitting in a living room next to a book shelf.,A brown couch sitting in a living room next to a book shelf with a blank TV screen.,let the TV have a blank screen
51,51746-output2,A brown couch sitting in a living room next to a book shelf with a blank TV screen.,A brown couch sitting in a living room next to a book shelf with a blank TV screen and a cute puppy.,add a puppy near the couch
52,171328-input,This trees has a lot of oranges growing on it.,This trees has a lot of oranges growing on it with a tower in the background.,change the brick wall into a tower
53,171328-output1,This trees has a lot of oranges growing on it with a tower in the background.,This trees has a lot of berries growing on it with a tower in the background.,change the oranges into berries
54,171328-output2,This trees has a lot of berries growing on it with a tower in the background.,Ripe yellowed leaves and berries on a tree with a tower in the background.,let the leaves be ripe and yellowed
55,398772-input,A bed with a tray on top sits in a room with a fridge.,"A wheelchair accessible room with a bed and tray table, and a fridge.",change the chair into a wheel chair.
56,398772-output1,"A wheelchair accessible room with a bed and tray table, and a fridge.","A hospital-style wheelchair accessible room with an adjustable bed, tray table, and fridge.",make the bed look like a hospital bed
57,118246-input,A table of food that includes peanuts and two hot dogs.,A table of food that includes two hot dogs and peanuts in shells.,Make the peanuts have shells
58,114697-input,A boy swings a bat while playing baseball.,A baseball coach watches as a boy swings a bat while playing.,Add a baseball coach.
59,3259-input,a desk filled with assorted electronics and a phone,A desk filled with assorted electronics and a table lamp,replace the phone with a table lamp
60,3259-output1,A desk filled with assorted electronics and a table lamp,"A desk filled with assorted electronics, including a laptop with a red webpage, and a table lamp",let the laptop have a red webpage
61,3259-output2,"A desk filled with assorted electronics, including a laptop with a red webpage, and a table lamp","A desk filled with assorted electronics, including a white laptop with a red webpage, and a table lamp",change the black laptop to white laptop
62,519688-input,A woman wearing a blue coat holds a furry animal in her arms,A woman wearing a blue coat and scars on her face holds a furry animal in her arms.,Give the women scars on her face.
63,554145-input,A store shelf filled with different colored tooth brushes.,"A store shelf filled with different colored tooth brushes, some marked with an orange sticky note.",Fix an orange sticky note to some brushes.
64,296724-input,A pink and red couch in a room with a pink rug.,Grandma sitting on a pink and red couch in a room with a pink rug.,Add a grandma.
65,417043-input,A bench sitting on the side of a road.,A clown sitting on a bench on the side of a road.,Put a clown on the bench.
66,65135-input,A large passenger sitting on top of an airport runway.,A large passenger plane parked on an airport runway.,Let the plane be parked on the runway.
67,5253-input,The stop sign is clearly displayed above the traffic light.,"The ""GO"" sign is clearly displayed above the traffic light.","Change the stop sign to say ""GO"""
68,335874-input,A polar bear walking on a rocky patch of ground.,A zebra-striped polar bear walking on a rocky patch of ground.,Give the polar bear zebra stripes
69,335874-output1,A zebra-striped polar bear walking on a rocky patch of ground.,A zebra-striped polar bear walking on a rocky patch of ground with a whole pizza in its mouth.,Have the polar bear be holding a whole pizza in its mouth
70,335874-output2,A zebra-striped polar bear walking on a rocky patch of ground with a whole pizza in its mouth.,A zebra-striped polar bear wearing a top hat walking on a rocky patch of ground with a whole pizza in its mouth.,Have the polar bear be wearing a top hat
71,169365-input,A cat sitting in a sink beside a cup with a toothbrush in it.,A meowing cat sitting in a sink beside a cup with a toothbrush in it.,let the cat meow
72,440336-input,a group of people throwing around a freez be,A group of people throwing around a fireball.,Make a fireball.
73,440336-output1,A group of people throwing around a fireball.,A group of people throwing around a fireball with a bird in the background.,Insert a bird.
74,330790-input,an elephant is carrying some plants in its tusk,An elephant with a red bow on its head carrying plants in its tusk,put a red bow on the elephant's head
75,237587-input,"A fire hydrant is decorated with the colors of the American flag: red, white, and blue.","A bald eagle perched on a fire hydrant decorated with the colors of the American flag: red, white, and blue.",Have there be a bald eagle perched on the fire hydrant
76,25485-input,A vase filled with the Charlie Brown Christmas Tree.,A vase filled with the Charlie Brown Christmas Tree and an owl.,Replace the dove with an owl.
77,25485-output1,A vase filled with the Charlie Brown Christmas Tree and an owl.,"A vase filled with the Charlie Brown Christmas Tree, an owl, and a kitten on the floor.",There should be a kitten on the floor.
78,495312-input,A man is holding a chiguagua dog over a bowl with a surprised look on his face.,A man is holding a laptop with a chiguagua dog on his lap with a surprised look on his face.,What if he was holding a laptop?
79,495312-output1,A man is holding a laptop with a chiguagua dog on his lap with a surprised look on his face.,A bespectacled man holds a laptop with a chiguagua dog on his lap with a surprised look on his face.,What if he has glasses?
80,331816-input,A group of sheep in grassy area with tree in the background.,A group of sheep in a grassy area.,Take away the trees.
81,115037-input,"Pens, scissors, markers and other assorted clerical tools.","Assorted clerical tools including plastic scissors, pens, and markers.",Let the scissors be made of plastic.
