idx,source_prompt,target_prompt,real_image,category
242679-input,a seat,a cat sitting on a seat,1,add
368667-input,field,a stream runs through a field,1,add
368667-output1,field,a giraffe in the field,0,add
368667-output2,sky,supernova in the sky,0,add
385042-input,black and white hydrant,white hydrant,1,change
385042-output2,a hydrant,a dog leashed to a hydrant,0,add
483348-input,toilet,toilet with seat down,1,add
483348-output1,toilet,a frog in a toilet,0,add
483348-output2,bathroom,bathroom with wooden floor,0,change
141946-input,a laptop,a laptop with black screen,1,change
141946-output1,chair,red chair,0,change
141946-output2,a desktop ,a black desktop,0,change
408425-input,lime green curtains,white curtains,1,change
408425-output1,bed,bean bag,0,change
408425-output2,table,wooden table,0,change
352290-input,horse,horse wearing a hat,1,add
352290-output1,sky,bird flying in the sky,0,add
385037-input,a man and a woman,a woman,1,remove
385037-output1,a woman,an obese woman,0,change
385037-output2,a woman,a woman and a helmet,0,add
578213-input,candles in a candle holder,banana shaped candle in a candle holder,1,add
127515-input,a baseball player,a baseball player is catching a ball,1,change
308332-input,ocean painting,mermaid in the ocean painting,1,add
308332-output1,mermaid,mermaid reading a book,0,add
308332-output2,bedsheet,bedsheet with a lobster,0,add
284725-input,a car and a bus,a bus,1,remove
284725-output1,a bus,a cat on top of a bus,0,add
560472-input,sausages in a pan,patties in a pan,1,add
560472-output1,bread in a pan,pancakes in a pan,0,add
560472-output2,a bottle,a wine bottle,0,add
441483-input,a toilet,a toilet with a lid,1,add
116518-input,teddy bear,black teddy bear,1,change
116518-output1,a dog and and a teddy bear,a dog licking a teddy bear,0,change
116518-output2,a dog,a dragonfly and a dog,0,add
103966-input,a tennis racket,a shovel,1,change
103966-output1,bench, wooden pew,0,change
103966-output2,floor ,a bucket of dirt,0,add
258155-input,blanket,long blanket,1,change
495146-input,sky,helicopter,1,add
70491-input,remote,VR headset,1,change
70491-output1,wall,movie poster on a wall,0,add
70491-output2,a table,a credit card on a table,0,add
296012-input,car,red sports car,1,change
221187-input,a banana,a microphone,1,change
160864-input,baseball bats,swords,1,change
160864-output1,the catcher,the catcher laughing,0,change
160864-output2,catcher,clown,0,change
51746-input,white couch,brown couch,1,change
51746-output1,screen,blank screen,0,change
51746-output2,the couch,the puppy near the couch,0,add
171328-input,brick wall,tower,1,change
171328-output1,oranges,berries,0,change
171328-output2,leaves,yellow leaves,0,change
398772-input,a chair,a wheelchair,1,change
398772-output1,bed,hospital bed,0,change
118246-input,peanuts,shelled peanuts,1,change
114697-input,baseball players,baseball players and the coach,1,add
3259-input,phone,table lamp,1,change
3259-output1,a laptop,a laptop with a red webpage,0,change
3259-output2,laptop,white laptop,0,change
519688-input,woman,woman with scar on her face,1,add
554145-input,brushes,an orange sticky note to some brushes,1,add
296724-input,a bed,grandma on a bed,1,add
417043-input,the bench,a clown on the bench,1,add
5253-input,"\""STOP\"" sign","\""GO\"" sign",1,change
335874-input,polar bear,zebra-striped polar bear,1,change
335874-output1,polar bear,polar bear and a pizza,0,add
335874-output2,bear,bear with a top hat,0,add
169365-input,cat,meowing cat,1,change
440336-input,man,man firing a fireball,1,change
440336-output1,man,man and a bird,0,add
330790-input,elephant,elephant with a red bow,1,add
237587-input,fire hydrant,bald eagle on fire hydrant,1,add
25485-input,dove,owl,1,change
25485-output1,floor ,kitten on the floor,0,add
495312-input,man holding a dog,man holding a laptop,1,change
495312-output1,man,man wearing glasses,0,add
331816-input,a field,a field with trees,1,remove
115037-input,scissors,plastic scissors,1,change
376843-input,man,man wearing brown pants,1,change
54464-input,laptops,a heart pillow next to a laptop,1,add
54464-output1,a heart pillow next to a laptop,a heart pillow,0,remove
54464-output2,a bed with items on it,a bed with only heart pillows,0,remove
