idx,source_prompt,target_prompt,target_index,target_index_checked,real_image
242679-input,a seat,a cat sitting on a seat,"[1, 2, 3, 4]",,1
368667-input,field,a stream runs through a field,"[1, 2, 3, 4, 5]",,1
368667-output1,field,a giraffe in the field,"[1, 2, 3, 4]",,0
368667-output2,sky,supernova in the sky,"[1, 2, 3]",,0
385042-input,black and white hydrant,white hydrant,,,1
385042-output2,a hydrant,a dog leashed to a hydrant,"[1, 2, 3, 4]",,0
483348-input,toilet,toilet with seat down,"[2, 3, 4]",,1
483348-output1,toilet,a frog in a toilet,"[1, 2, 3, 4]",,0
483348-output2,bathroom,bathroom with wooden floor,"[2, 3, 4]",,0
141946-input,a laptop,a laptop with black screen,"[3, 4, 5]",,1
141946-output1,chair,red chair,[1],,0
141946-output2,a desktop ,a black desktop,[2],,0
408425-input,lime green curtains,white curtains,,,1
408425-output1,bed,bean bag,,,0
408425-output2,table,wooden table,[1],,0
352290-input,horse,horse wearing a hat,"[2, 3, 4]",,1
352290-output1,sky,bird flying in the sky,"[1, 2, 3, 4]",,0
385037-input,a man and a woman,a woman,,,1
385037-output1,a woman,an obese woman,[2],,0
385037-output2,a woman,a woman and a helmet,"[3, 4, 5]",,0
578213-input.png,candels in a candel holder,banana shaped candel in a candel holder,"[1, 2, 3]",,1
127515-input,a baseball player,a baseball player is chatching a ball,"[4, 5, 6, 7]",,1
308332-input,ocean painting,mermaid in the ocean painting,"[1, 2, 3]",,1
308332-output1,mermaid,mermaid reading a book,"[2, 3, 4]",,0
308332-output2,bedsheet,bedsheet with a lobster,"[2, 3, 4]",,0
284725-input,a car and a bus,a bus,,,1
284725-output1,a bus,a cat on top of a bus,"[1, 2, 3, 4, 5]",,0
560472-input,sausages in a pan,patties in a pan,[1],,1
560472-output1,bread in a pan,pancakes in a pan,[1],,0
560472-output2,a bottle,a wine bottle,[2],,0
441483-input,a toilet,a toilet with a lid,"[3, 4, 5]",,1
116518-input,teddy bear,black teddy bear,[1],,1
116518-output1,a dog and and a teddy bear,a dog licking a teddy bear,[3],,0
116518-output2,a dog,a dargonfly and a dog,"[1, 2, 3, 4]",,0
103966-input,a tennis racket,a shovel,[2],,1
103966-output1,bench, wooden pew,"[1, 2]",,0
103966-output2,floor ,a bucket of dirt,"[1, 2, 3, 4]",,0
258155-input,blanket,long blanket,[1],,1
495146-input,sky,helicopter,[1],,1
70491-input,remote,VR headset,"[1, 2]",,1
70491-output1,wall,movie poster on a wall,"[1, 2, 3, 4]",,0
70491-output2,a table,a credit card on a table,"[1, 2, 3, 4, 5]",,0
296012-input,car,red sports car,"[1, 2]",,1
221187-input,a banana,a microphone,[2],,1
160864-input,baseball bats,swords,[1],,1
160864-output1,the catcher,the catcher laughing,[3],,0
160864-output2,catcher,clown,[1],,0
51746-input,white couch,brown couch,[1],,1
51746-output1,screen,blank screen,[1],,0
51746-output2,the couch,the puppy near the couch,"[1, 2, 3]",,0
171328-input,brick wall,tower,[1],,1
171328-output1,oranges,berries,[1],,0
171328-output2,leaves,yellow leaves,[1],,0
398772-input,a chair,a wheel chair,[2],,1
398772-output1,bed,hospital bed,[1],,0
118246-input,peanuts,shelled peanuts,[1],,1
114697-input,baseball players,baseball players and the coach,"[3, 4, 5]",,1
3259-input,phone,table lamp,"[2, 3]",,1
3259-output1,a laptop,a laptop with a red webpage,"[3, 4, 5, 6]",,0
3259-output2,laptop,white laptop,[1],,0
519688-input,woman,woman with scar on her face,"[2, 3, 4, 5, 6]",,1
554145-input,brushes,an orange sticky note to some brushes,"[1, 2, 3, 4, 5, 6]",,1
296724-input,a bed,grandma on a bed,"[1, 2, 3]",,1
417043-input,the bench,a clown on the bench,"[1, 2, 3]",,1
5253-input,"\""STOP\"" sign","\""GO\"" sign",,,1
335874-input,polar bear,zebra-striped polar bear,[1],,1
335874-output1,polar bear,polar bear and a pizza,"[3, 4, 5]",,0
335874-output2,bear,bear with a top hat,"[2, 3, 4, 5]",,0
169365-input,cat,meowing cat,[1],,1
440336-input,man,man firing a fireball,"[2, 3, 4]",,1
440336-output1,man,man and a bird,"[2, 3, 4]",,0
330790-input,elephant,elephant with a red bow,"[2, 3, 4, 5]",,1
237587-input,fire hydrant,bald eagle on fire hydrant,"[1, 2, 3]",,1
25485-input,dove,owl,[1],,1
